"Security validation error: %1","Erreur de sécurité : %1"
"Unable to secure the form. The sitekey is missing.","Impossible de sécuriser le formulaire. Le sitekey n'est pas renseigné."
"Unable to secure the form","Impossible de sécuriser le formulaire"
"Cloudflare Turnstile","Cloudflare Turnstile"
"Settings","Paramètres"
"Enabled","Activé"
"Sitekey","Sitekey"
"Secret key","Secret key"
"Storefront","Vitrine"
"Theme","Thème"
"Size","Taille"
"Forms to validate","Formulaires à valider"
"Admin Panel","Administration"
"please validate the security field or wait a few seconds before validating.","veuillez valider le champ de sécurité ou attendre quelques secondes avant de valider."
"unable to validate the form, the secret key is missing.","impossible de valider le formulaire, la clé secrète est manquante."
"unable to contact Cloudflare to validate the form.","impossible de contacter Cloudflare pour valider le formulaire."
"the secret parameter was not passed.","le paramètre secret n'a pas été transmis."
"the secret parameter was invalid or did not exist.","le paramètre secret était invalide ou n'existait pas."
"the response parameter was not passed.","le paramètre de réponse n'a pas été transmis."
"the response parameter is invalid or has expired.","le paramètre de réponse n'est pas valide ou a expiré."
"the request was rejected because it was malformed.","la requête a été rejetée car elle était invalide."
"the response parameter has already been validated before.","le paramètre de réponse a déjà été validé."
"an internal error happened while validating the response.","une erreur interne s'est produite lors de la validation de la réponse."
"unknown error.","erreur inconnue."
